Wavelength,Flux,BestFit,SkyFlux
4399.466,12.057,12.762,7.458
4400.480,14.300,12.980,7.681
4401.493,15.810,13.224,7.566
4402.505,12.774,13.649,7.610
4403.520,16.819,14.151,8.286
4404.534,13.279,14.390,9.077
4405.549,12.367,14.319,9.190
4406.563,13.271,14.077,9.123
4407.579,13.605,13.767,9.751
4408.593,11.288,13.569,10.402
4409.607,8.982,13.910,9.955
4410.624,12.228,13.894,9.871
4411.638,12.891,13.736,10.019
4412.656,13.546,13.774,10.026
4413.671,11.573,13.788,9.902
4414.689,10.636,13.376,9.575
4415.704,13.692,13.072,9.361
4416.723,12.814,12.862,9.990
4417.739,13.279,12.627,9.678
4418.755,12.314,12.796,8.538
4419.774,15.063,13.348,8.567
4420.791,14.313,13.606,9.624
4421.810,13.091,13.395,9.556
4422.827,12.785,13.253,9.195
4423.847,10.714,13.057,9.108
4424.865,11.554,12.622,9.090
4425.883,12.929,12.138,9.300
4426.903,11.771,11.921,9.537
4427.922,12.070,11.672,9.039
4428.943,13.168,11.527,8.257
4429.962,12.136,11.856,8.108
4430.983,12.744,12.078,8.074
4432.003,10.826,11.997,8.414
4433.022,10.196,12.082,8.610
4434.044,9.321,12.072,8.679
4435.064,6.281,11.660,8.300
4436.087,12.241,11.575,7.781
4437.108,15.023,11.776,7.127
4438.131,13.398,11.972,7.800
4439.152,12.448,12.227,8.754
4440.173,12.450,12.768,8.805
4441.197,13.155,12.646,8.248
4442.219,13.162,12.992,7.966
4443.243,12.731,13.485,7.872
4444.265,14.266,13.732,7.735
4445.290,14.764,14.045,7.766
4446.313,13.725,14.257,8.083
4447.336,14.215,14.196,8.230
4448.361,12.378,14.002,8.076
4449.384,13.420,13.681,7.253
4450.410,10.329,13.239,7.069
4451.434,10.156,12.793,7.428
4452.461,10.797,12.440,7.312
4453.485,12.308,12.029,7.175
4454.510,11.540,12.101,7.145
4455.537,12.385,12.604,6.794
4456.562,13.357,13.068,6.320
4457.589,11.842,13.132,6.548
4458.615,11.266,13.020,6.929
4459.643,10.512,12.828,6.414
4460.669,14.617,12.692,6.077
4461.695,14.059,12.559,6.450
4462.724,10.547,12.363,6.770
4463.751,10.794,12.051,7.101
4464.780,9.032,11.462,7.162
4465.807,10.693,11.245,7.031
4466.837,12.917,13.908,7.189
4467.864,20.276,18.680,7.517
4468.892,23.731,22.173,7.340
4469.923,21.141,21.001,6.800
4470.951,15.734,15.921,6.554
4471.982,11.070,12.324,6.598
4473.011,10.232,11.181,6.597
4474.042,10.018,11.378,6.881
4475.072,12.736,11.823,7.115
4476.101,13.349,12.173,7.075
4477.133,12.001,12.566,7.065
4478.163,11.961,12.643,6.847
4479.196,11.147,12.448,6.426
4480.226,12.392,12.111,6.644
4481.259,12.920,11.975,6.785
4482.290,12.424,12.338,6.581
4483.322,11.914,12.753,6.562
4484.355,12.453,13.289,7.010
4485.387,12.609,13.633,7.553
4486.421,12.048,13.693,7.798
4487.453,12.059,13.626,7.454
4488.488,12.283,13.673,6.911
4489.521,12.028,13.911,6.767
4490.554,12.168,14.057,7.026
4491.589,16.301,14.434,7.141
4492.622,13.897,14.650,6.970
4493.658,13.883,14.567,7.154
4494.692,14.649,14.546,7.818
4495.729,14.903,14.334,7.999
4496.763,16.273,14.096,7.829
4497.800,13.100,13.893,7.946
4498.834,12.783,13.774,8.010
4499.869,13.497,13.792,7.916
4500.907,13.265,13.919,7.795
4501.943,14.062,13.895,7.458
4502.981,13.100,13.552,6.882
4504.017,12.949,13.198,6.776
4505.055,15.062,13.229,7.209
4506.092,13.892,13.609,7.329
4507.128,16.199,13.938,7.475
4508.168,14.514,14.163,7.701
4509.205,10.717,14.255,7.446
4510.244,12.800,14.075,7.276
4511.282,13.358,13.440,7.243
4512.322,15.479,12.561,7.054
4513.360,13.169,12.034,6.853
4514.399,9.907,12.073,6.899
4515.440,9.413,12.343,7.053
4516.478,13.378,12.740,7.119
4517.520,15.937,13.027,7.125
4518.559,12.067,13.124,7.097
4519.601,10.624,13.277,7.077
4520.641,12.197,13.661,7.170
4521.681,17.048,13.543,7.722
4522.724,15.171,13.616,7.982
4523.764,13.416,13.696,7.732
4524.807,9.706,13.513,7.288
4525.848,12.548,13.519,6.865
4526.892,16.406,14.248,7.052
4527.933,15.278,14.152,7.651
4528.975,13.708,14.012,7.791
4530.019,13.954,13.819,7.706
4531.061,14.117,13.559,7.798
4532.106,11.789,13.657,8.192
4533.149,12.532,13.737,8.612
4534.194,15.778,13.519,8.627
4535.237,12.731,13.161,8.356
4536.280,12.032,13.245,8.050
4537.327,13.947,13.562,7.858
4538.370,15.438,13.404,7.987
4539.417,10.697,13.615,8.501
4540.461,13.019,13.982,8.636
4541.508,12.515,14.278,8.399
4542.553,13.824,14.444,8.325
4543.598,13.524,14.324,8.476
4544.646,15.327,13.868,8.741
4545.691,12.398,13.734,8.838
4546.739,11.788,13.557,8.571
4547.785,14.640,13.312,8.436
4548.834,13.906,13.504,8.310
4549.881,13.046,14.119,7.812
4550.927,14.793,14.428,7.525
4551.977,14.330,14.240,7.647
4553.024,14.883,14.117,8.012
4554.074,16.963,14.024,8.038
4555.121,13.808,14.036,7.795
4556.172,18.324,14.048,7.280
4557.220,14.283,13.845,7.119
4558.268,13.665,13.849,7.487
4559.319,16.186,13.904,7.804
4560.368,13.990,13.802,7.921
4561.420,13.223,13.744,7.748
4562.469,12.709,13.843,7.365
4563.521,13.088,13.890,6.969
4564.571,13.608,13.744,6.593
4565.621,12.632,13.533,6.612
4566.674,13.244,13.422,7.055
4567.725,14.995,13.684,6.996
4568.778,14.453,14.177,6.989
4569.829,15.112,14.393,7.525
4570.883,16.305,14.398,7.518
4571.934,15.222,14.408,6.959
4572.989,11.874,14.036,6.657
4574.041,13.886,13.705,6.345
4575.093,13.268,13.752,6.595
4576.148,13.700,13.939,7.153
4577.201,13.823,14.169,7.239
4578.256,13.401,14.454,7.178
4579.309,13.676,14.578,7.436
4580.365,16.624,14.497,7.613
4581.419,15.096,14.487,7.665
4582.473,13.597,14.728,7.730
4583.530,16.642,14.552,7.563
4584.584,14.176,14.220,7.426
4585.641,13.218,13.936,7.158
